order_id,store_id,order_date,order_amount,delivery_time
1,4,2023-06-08,15300,25
2,15,2023-02-08,31700,20
3,28,2023-04-18,48200,46
4,13,2023-02-13,26000,50
5,18,2023-06-03,25200,39
6,13,2023-03-14,36200,50
7,23,2023-06-27,31400,31
8,3,2023-03-03,25500,28
9,1,2023-01-19,26400,22
10,28,2023-05-24,23500,43
11,3,2023-02-07,45900,37
12,23,2023-06-04,23200,37
13,12,2023-02-04,38200,29
14,5,2023-04-18,38800,42
15,14,2023-05-11,19100,36
16,26,2023-06-28,39900,41
17,29,2023-01-02,31200,38
18,16,2023-04-16,34800,38
19,28,2023-04-03,18400,28
20,14,2023-01-22,6000,58
21,8,2023-06-04,25200,48
22,26,2023-02-14,34400,43
23,23,2023-01-31,31400,57
24,10,2023-03-23,26900,21
25,1,2023-06-29,41000,29
26,26,2023-01-27,16000,30
27,26,2023-02-10,29000,36
28,2,2023-03-15,26900,46
29,21,2023-06-22,15900,45
30,10,2023-01-06,19800,34
31,4,2023-03-09,37100,52
32,12,2023-03-05,47700,40
33,2,2023-06-25,39800,44
34,3,2023-01-27,38800,38
35,12,2023-02-17,24500,54
36,29,2023-03-29,19500,22
37,7,2023-04-09,6400,53
38,16,2023-01-07,40200,41
39,30,2023-05-09,28800,44
40,8,2023-02-24,20200,25
41,21,2023-01-14,7600,33
42,19,2023-02-24,44200,53
43,22,2023-06-02,21500,41
44,8,2023-01-29,17600,27
45,23,2023-05-06,30000,35
46,24,2023-04-06,30700,23
47,30,2023-02-18,22000,58
48,5,2023-02-14,5800,41
49,27,2023-02-01,30700,59
50,24,2023-01-23,22400,46
51,18,2023-06-05,46400,35
52,13,2023-06-18,21100,41
53,2,2023-04-19,32900,37
54,16,2023-06-14,22100,39
55,13,2023-01-08,23500,59
56,17,2023-02-20,38800,41
57,16,2023-05-14,16600,46
58,17,2023-04-04,25100,54
59,19,2023-04-10,31700,42
60,11,2023-06-18,31900,21
61,15,2023-06-20,38600,39
62,13,2023-02-02,26500,57
63,30,2023-03-21,23100,44
64,17,2023-05-13,10900,29
65,1,2023-02-14,24300,46
66,22,2023-05-23,24400,33
67,29,2023-06-14,23100,20
68,14,2023-02-07,14700,40
69,26,2023-06-13,25900,41
70,15,2023-02-04,14900,39
71,6,2023-04-22,34200,34
72,29,2023-03-28,13800,48
73,11,2023-06-27,40900,25
74,22,2023-04-13,35900,44
75,26,2023-04-07,22600,27
76,14,2023-01-10,27900,26
77,16,2023-02-19,22900,42
78,5,2023-04-25,21900,47
79,9,2023-06-12,27300,33
80,14,2023-01-24,46500,20
81,1,2023-06-22,8900,35
82,9,2023-04-10,24100,21
83,29,2023-04-17,27300,48
84,8,2023-06-20,47300,53
85,19,2023-01-14,13300,25
86,7,2023-02-03,28900,32
87,26,2023-03-31,39400,55
88,11,2023-06-20,39600,52
89,10,2023-01-16,13000,26
90,11,2023-05-12,45600,51
91,13,2023-02-26,8900,58
92,9,2023-02-16,30500,32
93,13,2023-01-25,9900,41
94,23,2023-06-19,28000,27
95,22,2023-05-25,11900,24
96,21,2023-03-29,12200,23
97,2,2023-06-11,42600,49
98,2,2023-02-02,14500,38
99,30,2023-06-04,21100,20
100,14,2023-05-01,32000,42
